ticker,name,market,locale,active,source_feed
I:B50PI,OMX Baltic Industrials PI,indices,us,True,NasdaqGIDS
I:B5510GI,OMX Baltic Basic Resources GI,indices,us,True,NasdaqGIDS
I:B5510PI,OMX Baltic Basic Resources PI,indices,us,True,NasdaqGIDS
I:B55GI,OMX Baltic Basic Materials GI,indices,us,True,NasdaqGIDS
I:B55PI,OMX Baltic Basic Materials PI,indices,us,True,NasdaqGIDS
I:B60GI,OMX Baltic Energy GI,indices,us,True,NasdaqGIDS
I:B60PI,OMX Baltic Energy PI,indices,us,True,NasdaqGIDS
I:B65GI,OMX Baltic Utilities GI,indices,us,True,NasdaqGIDS
I:B65PI,OMX Baltic Utilities PI,indices,us,True,NasdaqGIDS
I:BANK,Nasdaq Bank,indices,us,True,NasdaqGIDS
I:BANKT,Nasdaq Bank Total Return,indices,us,True,NasdaqGIDS
I:BAT100RP,Cboe 100 Basic Attention Token / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:BAT1KRP,Cboe 1000 Basic Attention Token / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:BAT200RP,Cboe 200 Basic Attention Token / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:BAT20N,Cboe Austria 20 - net,indices,us,True,CboeGlobalIndicesCGI
I:BAT20P,Cboe Austria 20,indices,us,True,CboeGlobalIndicesCGI
I:BAT500RP,Cboe 500 Basic Attention Token / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:BBE20N,Cboe Belgium 20 - net,indices,us,True,CboeGlobalIndicesCGI
I:BBE20P,Cboe Belgium 20,indices,us,True,CboeGlobalIndicesCGI
I:BCH100RP,Cboe 100 Bitcoin Cash / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
I:BCH10RP,Cboe 10 Bitcoin Cash / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
I:BCH1RP,Cboe 1 Bitcoin Cash / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:BCH20N,Cboe Switzerland 20 - net,indices,us,True,CboeGlobalIndicesCGI
I:BCH20P,Cboe Switzerland 20,indices,us,True,CboeGlobalIndicesCGI
I:BCH20RP,Cboe 20 Bitcoin Cash / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
